sku_variant,product_name,technical_spec,product_type,unit,opening_balance_previous,period_opening,inbound,outbound_or_value,balance,pack_quantity,product_code,product_url
454001610,جعبه همه کاره دایانا بدون درب 4 الوان,12,محصول نهایی,بسته,0,0,151,268000,30,12,4540016,https://ashkanplastic.com/product/4540016/
454001601,جعبه همه کاره دایانا بدون درب 4 صورتی,12,محصول نهایی,بسته,0,18,0,268000,14,12,4540016,https://ashkanplastic.com/product/4540016/
454001602,جعبه همه کاره دایانا بدون درب 4 طوسی,12,محصول نهایی,بسته,0,0,0.5,268000,0,12,4540016,https://ashkanplastic.com/product/4540016/
454001607,جعبه همه کاره دایانا بدون درب 4 کرپ,12,محصول نهایی,بسته,0,20,0,268000,0,12,4540016,https://ashkanplastic.com/product/4540016/
454001617,جعبه همه کاره دایانا بدون درب 4 موکا,12,محصول نهایی,کارتن,0,30,0.166666,268000,0,12,4540016,https://ashkanplastic.com/product/4540016/
454001609,جعبه همه کاره دایانا بدون درب 4 وانیلی,12,محصول نهایی,بسته,0,51,0,268000,28,12,4540016,https://ashkanplastic.com/product/4540016/
444001001,جعبه همه کاره دایانا درب دار 1 صورتی,12,محصول نهایی,بسته,0,32,0,140500,31,48,4440010,https://ashkanplastic.com/product/4440010/
444001002,جعبه همه کاره دایانا درب دار 1 طوسی,12,محصول نهایی,بسته,0,63,0,140500,23,48,4440010,https://ashkanplastic.com/product/4440010/
444001007,جعبه همه کاره دایانا درب دار 1 کرپ,12,محصول نهایی,بسته,0,34,0,140500,26,48,4440010,https://ashkanplastic.com/product/4440010/
444001017,جعبه همه کاره دایانا درب دار 1 موکا,12,محصول نهایی,بسته,0,57,0.020833,140500,29,48,4440010,https://ashkanplastic.com/product/4440010/
444001009,جعبه همه کاره دایانا درب دار 1 وانیلی,12,محصول نهایی,بسته,0,38,0,140500,18,48,4440010,https://ashkanplastic.com/product/4440010/
444001201,جعبه همه کاره دایانا درب دار 2 صورتی,12,محصول نهایی,کارتن,0,16,0.666667,199000,9,18,4440012,https://ashkanplastic.com/product/4440012/
444001202,جعبه همه کاره دایانا درب دار 2 طوسی,12,محصول نهایی,کارتن,0,14,60,199000,34,18,4440012,https://ashkanplastic.com/product/4440012/
444001207,جعبه همه کاره دایانا درب دار 2 کرپ,12,محصول نهایی,کارتن,0,36,0.055556,199000,25,18,4440012,https://ashkanplastic.com/product/4440012/
444001217,جعبه همه کاره دایانا درب دار 2 موکا,12,محصول نهایی,کارتن,0,79,0,199000,50,18,4440012,https://ashkanplastic.com/product/4440012/
444001209,جعبه همه کاره دایانا درب دار 2 وانیلی,12,محصول نهایی,کارتن,0,44,20.055556,199000,48,18,4440012,https://ashkanplastic.com/product/4440012/
444001401,جعبه همه کاره دایانا درب دار 3 صورتی,12,محصول نهایی,کارتن,0,21,0,292500,12,18,4440014,https://ashkanplastic.com/product/4440014/
444001402,جعبه همه کاره دایانا درب دار 3 طوسی,12,محصول نهایی,کارتن,0,61,0,292500,41,18,4440014,https://ashkanplastic.com/product/4440014/
444001407,جعبه همه کاره دایانا درب دار 3 کرپ,12,محصول نهایی,کارتن,0,36,0,292500,28,18,4440014,https://ashkanplastic.com/product/4440014/
444001417,جعبه همه کاره دایانا درب دار 3 موکا,12,محصول نهایی,کارتن,0,63,0,292500,37,18,4440014,https://ashkanplastic.com/product/4440014/
444001409,جعبه همه کاره دایانا درب دار 3 وانیلی,12,محصول نهایی,کارتن,0,46,0,292500,37,18,4440014,https://ashkanplastic.com/product/4440014/
444001802,جعبه همه کاره دایانا درب دار 4 طوسی,12,محصول نهایی,کارتن,0,21,60,383500,57,12,4440018,https://ashkanplastic.com/product/4440018/
444001807,جعبه همه کاره دایانا درب دار 4 کرپ,12,محصول نهایی,کارتن,0,49,60,383500,103,12,4440018,https://ashkanplastic.com/product/4440018/
444001817,جعبه همه کاره دایانا درب دار 4 موکا,12,محصول نهایی,کارتن,0,23,0,383500,0,12,4440018,https://ashkanplastic.com/product/4440018/
